Unnamed: 0,name,hp,hp formula,hp special,ac,ac special,cr,str,dex,con,int,wis,cha,str save,dex save,con save,int save,wis save,cha save,walk,fly,swim,burrow,climb,hover,size,alignment,type,source
1950,Sunbird,279,18d20 + 90,-,17,-,13,28,10,20,13,14,15,-,+5,+10,-,+7,+7,20,120,-,-,-,-,G,U,monstrosity,PSX
2814,Obliteros,126,11d12 + 55,-,13,-,5,23,11,21,10,10,5,-,-,-,-,-,-,0,-,50,-,-,-,H,CE,beast,WDH
1901,Ancient Amonkhet Dragon,546,28d20 + 252,-,22,-,24,30,10,29,10,15,23,-,+7,+16,-,+9,+13,40,80,-,-,40,-,G,CE,dragon,PSA
2801,Manshoon Simulacrum,126,23d8 + 23,-,12,-,8,10,14,12,23,15,16,+3,+5,+4,+12,+8,+6,30,-,-,-,-,-,M,LE,humanoid,WDH
2757,Ammalia Cassalanter,45,10d8,-,12,-,5,9,14,11,17,12,15,-,-,-,+6,+4,-,30,-,-,-,-,-,M,LE,humanoid,WDH
847,Crab Folk,68,8d10 + 24,-,16,-,3,19,10,17,7,9,9,-,-,-,-,-,-,40,-,40,-,-,-,L,N,giant,MFF
1336,Babau,82,11d8 + 33,-,16,-,4,19,16,16,11,12,13,-,-,-,-,-,-,40,-,-,-,-,-,M,CE,fiend,MPMM
2079,Iskander,40,9d8,-,12,-,6,9,14,11,17,12,11,-,-,-,+6,+4,-,30,-,-,-,-,-,M,NE,humanoid,RoT
230,Animated Glass Statue,22,3d10 + 6,-,10,-,1,15,10,15,6,12,7,-,-,-,-,-,-,10,60,-,-,-,-,L,NE,construct,CRCotN
1810,Emerald Enclave Scout,19,3d8 + 6,-,16,-,1/2,11,14,14,11,13,11,-,-,-,-,-,-,25,-,-,-,-,-,M,LN,humanoid,OotA
2450,Hew Hackinstone,67,9d8 + 27,-,13,-,2,16,12,17,9,11,9,-,-,-,-,-,-,30,-,-,-,-,-,M,CN,humanoid,ToA
647,Auril (Third Form),136,16d6 + 80,-,19,-,11,1,12,21,24,26,28,-,-,+9,-,+12,-,0,30,-,-,-,True,S,NE,elemental,IDRotF
2677,Swarm of Scarabs,27,5d8 + 5,-,13,-,3,3,14,13,1,12,1,-,-,-,-,-,-,30,-,-,30,30,-,M,-,beast,VRGR
1762,Water Elemental Myrmidon,127,17d8 + 51,-,18,-,7,18,14,15,8,10,10,-,-,-,-,-,-,40,-,40,-,-,-,M,N,elemental,MTF
2897,Keresta Delvingstone,144,17d8 + 68,-,16,-,13,18,18,18,17,15,18,-,+9,-,-,+7,+9,30,-,-,-,-,-,M,LE,undead,WDMM
945,Cave Bear,42,5d10 + 15,-,12,-,2,20,10,16,2,13,7,-,-,-,-,-,-,40,-,30,-,-,-,L,U,beast,MM
1366,Conjurer Wizard,58,13d8,-,12,-,6,9,14,11,17,12,11,-,-,-,+6,+4,-,30,-,-,-,-,-,M,A,humanoid,MPMM
2635,Warlock of the Great Old One,91,14d8 + 28,-,12,-,6,9,14,15,12,12,18,-,-,-,-,+4,+7,30,-,-,-,-,-,M,A,humanoid,VGM
2043,Rhundorth,11,2d8 + 2,-,11,-,1/8,18,12,12,10,11,10,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,PotA
816,Saemon Havarian,91,14d8 + 28,-,14,-,10,19,18,14,18,11,14,+8,+8,-,-,+4,-,30,-,-,-,-,-,M,CN,humanoid,MaBJoV
1145,Minotaur Skeleton,67,9d10 + 18,-,12,-,2,18,11,15,6,8,5,-,-,-,-,-,-,40,-,-,-,-,-,L,LE,undead,MM
1466,Martial Arts Adept,60,11d8 + 11,-,16,-,3,11,17,13,11,16,10,-,-,-,-,-,-,40,-,-,-,-,-,M,A,humanoid,MPMM
2850,Ziraj the Hunter,153,18d8 + 72,-,17,-,8,18,18,18,11,14,15,-,-,-,-,+5,+5,30,-,-,-,-,-,M,LE,humanoid,WDH
1643,Baphomet,275,19d12 + 152,-,22,-,23,30,14,26,18,24,16,-,+9,+15,-,+14,-,40,-,-,-,-,-,H,CE,fiend,MTF
40,Bone Whelk,27,5d10,-,12,-,1/4,10,5,11,6,9,3,-,-,-,-,-,-,15,-,-,-,15,-,L,U,monstrosity,BGDIA
1729,Retriever,210,20d10 + 100,-,19,-,14,22,16,20,3,11,4,-,+8,+10,-,+5,-,40,-,-,-,40,-,L,LE,construct,MTF
